"EQUIPMENT FOR Equinix - 2323 Bryan Street, Dallas TX 75021",,,,,,,,,Green,,Database Servers for Oracle,,,
,,,,,,,,,Blue,,"VMWare hosts for web servers, linux application hosts, Oracle database server",,,
Equipment List,,,,,,,,,,,,,,
host,Vendor,Model,Architecture,description,IP Address,Application,GCP Target,Move State,Memory (GB),CPU Cores,CPU Threads,CPU Utilization per 24 hours (%),CPU Utilization per Month (Hrs),Storage GB
rmm1l1,BayTech ,DS6D,,Remote Serial Management Module,N/A,,Not migrating,,,,,,,
rmm2l1,BayTech ,DS6D,,Remote Serial Management Module,192.168.100.131,,Not migrating,,,,,,,
daltx09,Dell,PowerEdge 2450,,"2 Pentium III, 728Mhz, 2GB, 36GB SCSI, Windows Server 2003 Standard",192.168.100.206,,GCVE,,loaddata and edireports,,,,,
ppobeta (removed),Gateway,E5200 ,,Webserver,192.168.100.215,,,,,,,,,
ppobeta2,Dell,PowerEdge 2550,,"2 Pentium III, 728Mhz, 2GB, 36GB SCSI, Windows Server 2003 Standard",192.168.100.193,,GCVE,,,,,,,
pp1log2,HP,,,HP DL380 G9 Server,,syslog and logging,,ODI,32,12,24,5%,36.00,1000
s1,Sun,Sun Fire V240,UltraSPARC→Intel,Sun V240,192.168.100.152,Oracle DB,GCVE,Oracle 12,4,2,2,7%,50.40,128
s2,Sun,Sun Fire V880,"UltraSPARC→Emulation
UltraSPARC→Intel",Sun V880,192.168.100.153,"EDI Application Server, IBM MQ Client",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,,16,4,5,56%,403.20,144
s3,Sun,Sun Fire V880,UltraSPARC→Intel,Sun V880,192.168.100.154,Oracle DB,GCVE,Oracle 12,16,8,8,16%,115.20,144
s5,Sun,Sun Fire V890,UltraSPARC→Intel,Sun V890,192.168.100.160,Oracle DB,GCVE,Oracle 12,16,8,16,18%,129.60,246
s6,Sun,Sun Fire V240,UltraSPARC→Intel,Sun V240,192.168.100.167,Oracle DB,GCVE,Oracle 12,8,2,2,3%,21.60,128
s7,Sun,Sun Fire X4200,UltraSPARC,Sun X4200,192.168.100.190,,,,,,,,0.00,
bpcmodem1,,,,US Robotics 56K Sportster,,,Not migrating,,,,,,0.00,
u3,HP,DL385 G2,,Linux Server,192.168.100.159,Monitoring,,ODI,18,4,4,2%,14.40,72
u5,IBM,Xseries (32-bit),,Linux Server,192.168.100.151,,,,,,,,0.00,
u9,IBM,Xseries (32-bit),,Linux Server,,,,,,,,,0.00,
pp1-nas01,Infrant,ReadNAS NV,,NAS device,192.168.103.162,archive storage,GCS/NetApp,NAS,8,2,2,3%,21.60,1000
pp1-nas03,Infrant,ReadyNAS NV,,NAS device,192.168.103.164,archive storage,GCS/NetApp,NAS,8,2,2,2%,14.40,1000
pp1-nas05,NetGear,ReadyNAS NV,,NAS device,192.168.103.193,archive storage,GCS/NetApp,NAS,8,2,2,2%,14.40,1000
badboy,Overland Storage,NEO 2000,,LTO-3 Tape Library,192.168.100.194,Tape Library,GCS/NetApp,,,,,,,
daltx-vmhost1,HP,DL380 G7,Intel,Vmware ESXi Host Server (HP DL380 G8),192.168.100.200,"WebApp, Linux Servers, load balancer",GCVE,ODI,98,12,24,10%,72.00,1000
